,month,region,area,crime,Violence and sexual offences,Vehicle crime,Possession of weapons,Shoplifting,Criminal damage and arson,Drugs,Violent crime,Public order,Theft from the person,Public disorder and weapons,Anti-social behaviour,Robbery,Other theft,Bicycle theft,Burglary,Other crime
4525,2020-03-01,staffordshire,Staffordshire Police,10737,39.759709416038,4.125919716866909,0.5960696656421719,4.0048430660333425,7.823414361553507,1.5833100493620191,0.0,4.63816708577815,0.44705224923162895,0.0,26.152556580050295,0.5495017230138772,5.2435503399459815,0.35391636397503956,2.784762969172022,1.9372264133370587
4526,2020-04-01,staffordshire,Staffordshire Police,9721,31.11819771628433,2.5923258923979016,0.5657854130233515,2.7260569900216027,6.3882316634091145,1.789939306655694,0.0,4.022219936220553,0.30861022528546445,0.0,39.748997016767824,0.4320543153996502,4.783458491924699,0.46291533792819667,3.3329904330830162,1.728217261598601
4527,2020-05-01,staffordshire,Staffordshire Police,7401,26.496419402783406,3.283340089177138,0.526955816781516,3.2292933387380085,6.5396568031347115,3.2292933387380085,0.0,3.594108904202135,0.31076881502499665,0.0,42.22402378057019,0.2432103769760843,5.093906228887988,0.6350493176597757,2.837454398054317,1.7565193892717201
4528,2020-06-01,staffordshire,Staffordshire Police,9045,33.34438916528469,3.2504145936981756,0.46434494195688225,2.775013819789939,8.103924820342732,1.691542288557214,0.0,5.483692647871752,0.33167495854063017,0.0,32.91321171918187,0.58595909342178,5.7269209508015475,0.9729132117191819,2.797125483692648,1.5588723051409619
4529,2020-07-01,staffordshire,Staffordshire Police,8977,32.77264119416286,3.6983402027403365,0.47900189372841706,4.2330399910883365,8.454940403252756,1.169655787011251,0.0,4.422412832794921,0.20051242063050018,0.0,32.73922245739111,0.6683747354350006,5.380416620251754,0.9134454717611674,3.642642308120753,1.2253536816308344
4530,2020-08-01,staffordshire,Staffordshire Police,8452,30.84477046852816,3.3009938476100333,0.49692380501656414,4.50780880265026,8.802650260293422,0.6625650733554188,0.0,4.4131566493137715,0.11831519167061051,0.0,36.00331282536678,0.5324183625177473,5.5844770468528155,0.8282063416942735,2.9460482725982016,0.9583530525319451
4531,2020-09-01,staffordshire,Staffordshire Police,8601,34.63550749912801,4.836646901523078,0.546448087431694,4.569236135333101,8.824555284269271,1.1394023950703407,0.0,4.348331589350075,0.3139169863969306,0.0,27.83397279386118,0.4650622020695268,6.313219393093826,1.499825601674224,3.5112196256249275,1.162655505173817
4532,2020-10-01,staffordshire,Staffordshire Police,8498,33.81972228759708,4.177453518474935,0.5413038361967522,4.754059778771476,8.625558955048247,0.9178630265944928,0.0,4.7893622028712635,0.30595434219816425,0.0,28.936220287126382,0.7060484819957638,6.61332078136032,0.8825606024947046,3.5655448340786067,1.36502706519181
4533,2020-11-01,staffordshire,Staffordshire Police,7362,34.908992121706056,5.297473512632437,0.54333061668025,5.012224938875305,9.032871502309154,1.3990763379516435,0.0,4.6318935071991305,0.2580820429231187,0.0,26.06628633523499,0.7063298016843249,6.37055148057593,0.6384134745992937,3.9663135017658244,1.1681608258625373
4534,2020-12-01,staffordshire,Staffordshire Police,6129,34.31228585413607,4.862130853320281,0.5057921357480829,4.862130853320281,9.463207701093163,1.4357970305106869,0.0,4.1279164627182245,0.17947462881383586,0.0,28.095937347038667,0.7178985152553434,6.053189753630282,0.5710556371349322,3.5894925762767174,1.2236906510034264
